geometry_id,geometry_class,shape,body,spacing_um,height_um,h_over_s,diameter_mm,depth_ratio,pattern,coverage_pct,denticle_scale_um,overlap_pct,U_inf_mps,Re_L,Re_D,u_tau_mps,delta_v_um,s_plus,lg_plus,k_plus,Cf_smooth,Cf_textured,Cd_pressure,Cd_total,DR_friction_pct,DR_net_pct,DR_uncertainty_pp,delta_Re_transition,natural_regime,min_feature_um,manufacturability_index,model_confidence
A-V-s50-h50,riblet,v-groove,plate,50.0,50.0,1.0,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.272276,0.192528,0.040841,0.014464,0.014449,0.0,0.014449,0.101004,0.101004,1.5,0.0,laminar,50.0,3.6,low
A-V-s50-h50,riblet,v-groove,sphere,50.0,50.0,1.0,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.31062,0.219642,0.046593,0.011676,0.011684,0.378216,0.3899,0.115228,-0.17705,3.1,0.0,separation-dominated,50.0,3.6,low
A-V-s50-h50,riblet,v-groove,plate,50.0,50.0,1.0,,,,,,,5.0,32017.306652,,0.342095,228.248875,1.095296,0.774491,0.164294,0.009362,0.009324,0.0,0.009324,0.406313,0.406313,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,sphere,50.0,50.0,1.0,,,,,,,5.0,,13671.389941,0.38203,204.389234,1.223156,0.864902,0.183473,0.013046,0.013008,0.422501,0.435509,0.453744,-0.147926,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,plate,50.0,50.0,1.0,,,,,,,10.0,64034.613304,,0.629421,124.0549,2.015237,1.424988,0.302286,0.007923,0.007864,0.0,0.007864,0.747576,0.747576,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,sphere,50.0,50.0,1.0,,,,,,,10.0,,27342.779881,0.697855,111.889674,2.234344,1.57992,0.335152,0.014108,0.014012,0.456834,0.470845,0.828856,-0.124381,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,plate,50.0,50.0,1.0,,,,,,,20.0,128069.226609,,1.16396,67.08374,3.726686,2.635165,0.559003,0.006774,0.00668,0.0,0.00668,1.382458,1.382458,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,sphere,50.0,50.0,1.0,,,,,,,20.0,,54685.559762,1.282384,60.888753,4.105849,2.903273,0.615877,0.01466,0.014456,0.474651,0.489108,1.523113,-0.090307,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,plate,50.0,50.0,1.0,,,,,,,50.0,320173.066522,,2.641463,29.560421,8.457254,5.980182,1.268588,0.005582,0.005407,0.0,0.005407,3.137318,3.137318,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s50-h50,riblet,v-groove,sphere,50.0,50.0,1.0,,,,,,,50.0,,136713.899405,2.889182,27.025911,9.250382,6.541008,1.387557,0.014708,0.013963,0.467528,0.481492,3.431538,1.786772,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,plate,50.0,100.0,2.0,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.272276,0.272276,0.081683,0.014464,0.014454,0.0,0.014454,0.066692,0.066692,1.5,0.0,laminar,50.0,3.6,low
A-V-s50-h100,riblet,v-groove,sphere,50.0,100.0,2.0,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.31062,0.31062,0.093186,0.011676,0.01171,0.378897,0.390607,0.076084,-0.358735,3.1,0.0,separation-dominated,50.0,3.6,low
A-V-s50-h100,riblet,v-groove,plate,50.0,100.0,2.0,,,,,,,5.0,32017.306652,,0.342095,228.248875,1.095296,1.095296,0.328589,0.009362,0.009337,0.0,0.009337,0.268285,0.268285,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,sphere,50.0,100.0,2.0,,,,,,,5.0,,13671.389941,0.38203,204.389234,1.223156,1.223156,0.366947,0.013046,0.013049,0.423183,0.436232,0.299603,-0.314097,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,plate,50.0,100.0,2.0,,,,,,,10.0,64034.613304,,0.629421,124.0549,2.015237,2.015237,0.604571,0.007923,0.007884,0.0,0.007884,0.493618,0.493618,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,sphere,50.0,100.0,2.0,,,,,,,10.0,,27342.779881,0.697855,111.889674,2.234344,2.234344,0.670303,0.014108,0.014072,0.457513,0.471585,0.547286,-0.281688,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,plate,50.0,100.0,2.0,,,,,,,20.0,128069.226609,,1.16396,67.08374,3.726686,3.726686,1.118006,0.006774,0.006712,0.0,0.006712,0.912825,0.912825,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,sphere,50.0,100.0,2.0,,,,,,,20.0,,54685.559762,1.282384,60.888753,4.105849,4.105849,1.231755,0.01466,0.014548,0.475168,0.489716,1.005698,-0.214752,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,plate,50.0,100.0,2.0,,,,,,,50.0,320173.066522,,2.641463,29.560421,8.457254,8.457254,2.537176,0.005582,0.005466,0.0,0.005466,2.071543,2.071543,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s50-h100,riblet,v-groove,sphere,50.0,100.0,2.0,,,,,,,50.0,,136713.899405,2.889182,27.025911,9.250382,9.250382,2.775115,0.014708,0.013143,0.434803,0.447946,2.265814,8.629343,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,plate,50.0,250.0,5.0,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.272276,0.430507,0.204207,0.014464,0.014462,0.0,0.014462,0.012174,0.012174,1.5,0.0,laminar,50.0,3.6,low
A-V-s50-h250,riblet,v-groove,sphere,50.0,250.0,5.0,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.31062,0.491133,0.232965,0.011676,0.01178,0.380942,0.392722,0.013888,-0.902145,3.1,0.0,separation-dominated,50.0,3.6,low
A-V-s50-h250,riblet,v-groove,plate,50.0,250.0,5.0,,,,,,,5.0,32017.306652,,0.342095,228.248875,1.095296,1.731814,0.821472,0.009362,0.009358,0.0,0.009358,0.048971,0.048971,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,sphere,50.0,250.0,5.0,,,,,,,5.0,,13671.389941,0.38203,204.389234,1.223156,1.93398,0.917367,0.013046,0.013144,0.425227,0.438371,0.054688,-0.806064,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,plate,50.0,250.0,5.0,,,,,,,10.0,64034.613304,,0.629421,124.0549,2.015237,3.186369,1.511428,0.007923,0.007916,0.0,0.007916,0.090102,0.090102,1.5,0.0,laminar,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,sphere,50.0,250.0,5.0,,,,,,,10.0,,27342.779881,0.697855,111.889674,2.234344,3.532808,1.675758,0.014108,0.014198,0.459532,0.47373,0.099898,-0.737825,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,plate,50.0,250.0,5.0,,,,,,,20.0,128069.226609,,1.16396,67.08374,3.726686,5.892407,2.795014,0.006774,0.006763,0.0,0.006763,0.166622,0.166622,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,sphere,50.0,250.0,5.0,,,,,,,20.0,,54685.559762,1.282384,60.888753,4.105849,6.491917,3.079386,0.01466,0.014679,0.475504,0.490183,0.183574,-0.310356,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,plate,50.0,250.0,5.0,,,,,,,50.0,320173.066522,,2.641463,29.560421,8.457254,13.372093,6.342941,0.005582,0.005568,0.0,0.005568,0.252733,0.252733,1.5,-59197.205531,laminar-transitional,50.0,3.6,high
A-V-s50-h250,riblet,v-groove,sphere,50.0,250.0,5.0,,,,,,,50.0,,136713.899405,2.889182,27.025911,9.250382,14.626138,6.937786,0.024513,0.015631,0.297647,0.313278,0.220385,36.098382,3.1,-81161.883375,separation-dominated,50.0,3.6,high
A-V-s100-h25,riblet,v-groove,plate,100.0,25.0,0.25,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.544552,0.192528,0.020421,0.014464,0.014457,0.0,0.014457,0.048732,0.048732,1.5,0.0,laminar,25.0,4.9,low
A-V-s100-h25,riblet,v-groove,sphere,100.0,25.0,0.25,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.62124,0.219642,0.023297,0.011676,0.01168,0.377875,0.389556,0.055595,-0.088587,3.1,0.0,separation-dominated,25.0,4.9,low
A-V-s100-h25,riblet,v-groove,plate,100.0,25.0,0.25,,,,,,,5.0,32017.306652,,0.342095,228.248875,2.190591,0.774491,0.082147,0.009362,0.009344,0.0,0.009344,0.196036,0.196036,1.5,0.0,laminar,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,sphere,100.0,25.0,0.25,,,,,,,5.0,,13671.389941,0.38203,204.389234,2.446313,0.864902,0.091737,0.013046,0.013028,0.42216,0.435188,0.21892,-0.074208,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,plate,100.0,25.0,0.25,,,,,,,10.0,64034.613304,,0.629421,124.0549,4.030474,1.424988,0.151143,0.007923,0.007895,0.0,0.007895,0.360686,0.360686,1.5,0.0,laminar,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,sphere,100.0,25.0,0.25,,,,,,,10.0,,27342.779881,0.697855,111.889674,4.468688,1.57992,0.167576,0.014108,0.014062,0.456493,0.470555,0.399902,-0.062673,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,plate,100.0,25.0,0.25,,,,,,,20.0,128069.226609,,1.16396,67.08374,7.453371,2.635165,0.279501,0.006774,0.006729,0.0,0.006729,0.667,0.667,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,sphere,100.0,25.0,0.25,,,,,,,20.0,,54685.559762,1.282384,60.888753,8.211697,2.903273,0.307939,0.01466,0.014563,0.474341,0.488903,0.734863,-0.04843,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,plate,100.0,25.0,0.25,,,,,,,50.0,320173.066522,,2.641463,29.560421,16.914509,5.980182,0.634294,0.005582,0.005497,0.0,0.005497,1.513676,1.513676,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s100-h25,riblet,v-groove,sphere,100.0,25.0,0.25,,,,,,,50.0,,136713.899405,2.889182,27.025911,18.500764,6.541008,0.693779,0.014708,0.014425,0.47427,0.488695,1.655629,0.317356,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s100-h50,riblet,v-groove,plate,100.0,50.0,0.5,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.544552,0.272276,0.040841,0.014464,0.014443,0.0,0.014443,0.144413,0.144413,1.5,0.0,laminar,50.0,3.6,low
A-V-s100-h50,riblet,v-groove,sphere,100.0,50.0,0.5,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.62124,0.31062,0.046593,0.011676,0.011678,0.378216,0.389894,0.16475,-0.175562,3.1,0.0,separation-dominated,50.0,3.6,low
A-V-s100-h50,riblet,v-groove,plate,100.0,50.0,0.5,,,,,,,5.0,32017.306652,,0.342095,228.248875,2.190591,1.095296,0.164294,0.009362,0.009308,0.0,0.009308,0.580934,0.580934,1.5,0.0,laminar,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,sphere,100.0,50.0,0.5,,,,,,,5.0,,13671.389941,0.38203,204.389234,2.446313,1.223156,0.183473,0.013046,0.012982,0.422501,0.435484,0.64875,-0.142066,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,plate,100.0,50.0,0.5,,,,,,,10.0,64034.613304,,0.629421,124.0549,4.030474,2.015237,0.302286,0.007923,0.007839,0.0,0.007839,1.068862,1.068862,1.5,0.0,laminar,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,sphere,100.0,50.0,0.5,,,,,,,10.0,,27342.779881,0.697855,111.889674,4.468688,2.234344,0.335152,0.014108,0.013961,0.456834,0.470795,1.185074,-0.113679,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,plate,100.0,50.0,0.5,,,,,,,20.0,128069.226609,,1.16396,67.08374,7.453371,3.726686,0.559003,0.006774,0.00664,0.0,0.00664,1.976597,1.976597,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,sphere,100.0,50.0,0.5,,,,,,,20.0,,54685.559762,1.282384,60.888753,8.211697,4.105849,0.615877,0.01466,0.01436,0.474651,0.489012,2.177701,-0.070642,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,plate,100.0,50.0,0.5,,,,,,,50.0,320173.066522,,2.641463,29.560421,16.914509,8.457254,1.268588,0.005582,0.005331,0.0,0.005331,4.485644,4.485644,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s100-h50,riblet,v-groove,sphere,100.0,50.0,0.5,,,,,,,50.0,,136713.899405,2.889182,27.025911,18.500764,9.250382,1.387557,0.014708,0.01375,0.467528,0.481278,4.906311,1.830269,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s100-h100,riblet,v-groove,plate,100.0,100.0,1.0,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.544552,0.385057,0.081683,0.014464,0.014434,0.0,0.014434,0.202008,0.202008,1.5,0.0,laminar,100.0,1.3,low
A-V-s100-h100,riblet,v-groove,sphere,100.0,100.0,1.0,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.62124,0.439283,0.093186,0.011676,0.011691,0.378897,0.390589,0.230456,-0.354087,3.1,0.0,separation-dominated,100.0,1.3,low
A-V-s100-h100,riblet,v-groove,plate,100.0,100.0,1.0,,,,,,,5.0,32017.306652,,0.342095,228.248875,2.190591,1.548982,0.328589,0.009362,0.009286,0.0,0.009286,0.812626,0.812626,1.5,0.0,laminar,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,sphere,100.0,100.0,1.0,,,,,,,5.0,,13671.389941,0.38203,204.389234,2.446313,1.729804,0.366947,0.013046,0.012969,0.423183,0.436152,0.907488,-0.295801,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,plate,100.0,100.0,1.0,,,,,,,10.0,64034.613304,,0.629421,124.0549,4.030474,2.849975,0.604571,0.007923,0.007805,0.0,0.007805,1.495152,1.495152,1.5,0.0,laminar,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,sphere,100.0,100.0,1.0,,,,,,,10.0,,27342.779881,0.697855,111.889674,4.468688,3.159839,0.670303,0.014108,0.013915,0.457513,0.471428,1.657712,-0.248276,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,plate,100.0,100.0,1.0,,,,,,,20.0,128069.226609,,1.16396,67.08374,7.453371,5.270329,1.118006,0.006774,0.006587,0.0,0.006587,2.764916,2.764916,1.5,0.0,laminar-transitional,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,sphere,100.0,100.0,1.0,,,,,,,20.0,,54685.559762,1.282384,60.888753,8.211697,5.806547,1.231755,0.01466,0.014248,0.475168,0.489416,3.046225,-0.153386,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,plate,100.0,100.0,1.0,,,,,,,50.0,320173.066522,,2.641463,29.560421,16.914509,11.960364,2.537176,0.005582,0.005288,0.0,0.005288,5.265349,5.265349,1.5,0.0,laminar-transitional,100.0,1.3,high
A-V-s100-h100,riblet,v-groove,sphere,100.0,100.0,1.0,,,,,,,50.0,,136713.899405,2.889182,27.025911,18.500764,13.082016,2.775115,0.014708,0.0128,0.434803,0.447603,4.817161,8.699326,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,plate,100.0,250.0,2.5,,,,,,,1.0,6403.46133,,0.08504,918.18522,0.544552,0.608828,0.204207,0.014464,0.014449,0.0,0.014449,0.099472,0.099472,1.5,0.0,laminar,100.0,1.3,low
A-V-s100-h250,riblet,v-groove,sphere,100.0,250.0,2.5,,,,,,,1.0,,2734.277988,0.097016,804.841687,0.62124,0.694568,0.232965,0.011676,0.011768,0.380942,0.39271,0.11348,-0.89913,3.1,0.0,separation-dominated,100.0,1.3,low
A-V-s100-h250,riblet,v-groove,plate,100.0,250.0,2.5,,,,,,,5.0,32017.306652,,0.342095,228.248875,2.190591,2.449156,0.821472,0.009362,0.009325,0.0,0.009325,0.400148,0.400148,1.5,0.0,laminar,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,sphere,100.0,250.0,2.5,,,,,,,5.0,,13671.389941,0.38203,204.389234,2.446313,2.735061,0.917367,0.013046,0.013093,0.425227,0.438319,0.44686,-0.794204,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,plate,100.0,250.0,2.5,,,,,,,10.0,64034.613304,,0.629421,124.0549,4.030474,4.506206,1.511428,0.007923,0.007865,0.0,0.007865,0.736233,0.736233,1.5,0.0,laminar,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,sphere,100.0,250.0,2.5,,,,,,,10.0,,27342.779881,0.697855,111.889674,4.468688,4.996145,1.675758,0.014108,0.014096,0.459532,0.473628,0.81628,-0.716175,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,plate,100.0,250.0,2.5,,,,,,,20.0,128069.226609,,1.16396,67.08374,7.453371,8.333122,2.795014,0.006774,0.006682,0.0,0.006682,1.361482,1.361482,1.5,0.0,laminar-transitional,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,sphere,100.0,250.0,2.5,,,,,,,20.0,,54685.559762,1.282384,60.888753,8.211697,9.180956,3.079386,0.01466,0.014486,0.475504,0.489989,1.500003,-0.270738,3.1,0.0,separation-dominated,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,plate,100.0,250.0,2.5,,,,,,,50.0,320173.066522,,2.641463,29.560421,16.914509,18.910996,6.342941,0.005582,0.005553,0.0,0.005553,0.509095,0.509095,1.620322,-59197.205531,laminar-transitional,100.0,1.3,high
A-V-s100-h250,riblet,v-groove,sphere,100.0,250.0,2.5,,,,,,,50.0,,136713.899405,2.889182,27.025911,18.500764,20.684483,6.937786,0.024513,0.015642,0.297647,0.313289,0.150425,36.096146,3.1,-81161.883375,separation-dominated,100.0,1.3,high
A-V-s200-h25,riblet,v-groove,plate,200.0,25.0,0.125,,,,,,,1.0,6403.46133,,0.08504,918.18522,1.089105,0.272276,0.020421,0.014464,0.014461,0.0,0.014461,0.015525,0.015525,1.5,0.0,laminar,25.0,4.9,low
A-V-s200-h25,riblet,v-groove,sphere,200.0,25.0,0.125,,,,,,,1.0,,2734.277988,0.097016,804.841687,1.24248,0.31062,0.023297,0.011676,0.011685,0.377875,0.38956,0.017711,-0.089725,3.1,0.0,separation-dominated,25.0,4.9,low
A-V-s200-h25,riblet,v-groove,plate,200.0,25.0,0.125,,,,,,,5.0,32017.306652,,0.342095,228.248875,4.381183,1.095296,0.082147,0.009362,0.009356,0.0,0.009356,0.062452,0.062452,1.5,0.0,laminar,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,sphere,200.0,25.0,0.125,,,,,,,5.0,,13671.389941,0.38203,204.389234,4.892626,1.223156,0.091737,0.013046,0.013047,0.42216,0.435208,0.069742,-0.078687,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,plate,200.0,25.0,0.125,,,,,,,10.0,64034.613304,,0.629421,124.0549,8.060947,2.015237,0.151143,0.007923,0.007914,0.0,0.007914,0.114905,0.114905,1.5,0.0,laminar,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,sphere,200.0,25.0,0.125,,,,,,,10.0,,27342.779881,0.697855,111.889674,8.937375,2.234344,0.167576,0.014108,0.0141,0.456493,0.470594,0.127398,-0.070855,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,plate,200.0,25.0,0.125,,,,,,,20.0,128069.226609,,1.16396,67.08374,14.906742,3.726686,0.279501,0.006774,0.00676,0.0,0.00676,0.212489,0.212489,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,sphere,200.0,25.0,0.125,,,,,,,20.0,,54685.559762,1.282384,60.888753,16.423394,4.105849,0.307939,0.01466,0.014636,0.474341,0.488977,0.234108,-0.063464,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,plate,200.0,25.0,0.125,,,,,,,50.0,320173.066522,,2.641463,29.560421,33.829018,8.457254,0.634294,0.005582,0.005555,0.0,0.005555,0.482217,0.482217,1.5,0.0,laminar-transitional,25.0,4.9,high
A-V-s200-h25,riblet,v-groove,sphere,200.0,25.0,0.125,,,,,,,50.0,,136713.899405,2.889182,27.025911,37.001528,9.250382,0.693779,0.014708,0.014591,0.47427,0.488861,0.52744,0.283601,3.1,0.0,separation-dominated,25.0,4.9,high
A-V-s200-h50,riblet,v-groove,plate,200.0,50.0,0.25,,,,,,,1.0,6403.46133,,0.08504,918.18522,1.089105,0.385057,0.040841,0.014464,0.01445,0.0,0.01445,0.097464,0.097464,1.5,0.0,laminar,50.0,3.6,low
A-V-s200-h50,riblet,v-groove,sphere,200.0,50.0,0.25,,,,,,,1.0,,2734.277988,0.097016,804.841687,1.24248,0.439283,0.046593,0.011676,0.011684,0.378216,0.3899,0.111189,-0.177171,3.1,0.0,separation-dominated,50.0,3.6,low
A-V-s200-h50,riblet,v-groove,plate,200.0,50.0,0.25,,,,,,,5.0,32017.306652,,0.342095,228.248875,4.381183,1.548982,0.164294,0.009362,0.009326,0.0,0.009326,0.392071,0.392071,1.5,0.0,laminar,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,sphere,200.0,50.0,0.25,,,,,,,5.0,,13671.389941,0.38203,204.389234,4.892626,1.729804,0.183473,0.013046,0.01301,0.422501,0.435511,0.43784,-0.148403,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,plate,200.0,50.0,0.25,,,,,,,10.0,64034.613304,,0.629421,124.0549,8.060947,2.849975,0.302286,0.007923,0.007866,0.0,0.007866,0.721372,0.721372,1.5,0.0,laminar,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,sphere,200.0,50.0,0.25,,,,,,,10.0,,27342.779881,0.697855,111.889674,8.937375,3.159839,0.335152,0.014108,0.014016,0.456834,0.47085,0.799804,-0.125254,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,plate,200.0,50.0,0.25,,,,,,,20.0,128069.226609,,1.16396,67.08374,14.906742,5.270329,0.559003,0.006774,0.006684,0.0,0.006684,1.334001,1.334001,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,sphere,200.0,50.0,0.25,,,,,,,20.0,,54685.559762,1.282384,60.888753,16.423394,5.806547,0.615877,0.01466,0.014464,0.474651,0.489116,1.469726,-0.09191,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,plate,200.0,50.0,0.25,,,,,,,50.0,320173.066522,,2.641463,29.560421,33.829018,11.960364,1.268588,0.005582,0.00544,0.0,0.00544,2.540396,2.540396,1.5,0.0,laminar-transitional,50.0,3.6,high
A-V-s200-h50,riblet,v-groove,sphere,200.0,50.0,0.25,,,,,,,50.0,,136713.899405,2.889182,27.025911,37.001528,13.082016,1.387557,0.014708,0.014124,0.467528,0.481652,2.324157,1.75411,3.1,0.0,separation-dominated,50.0,3.6,high
A-V-s200-h100,riblet,v-groove,plate,200.0,100.0,0.5,,,,,,,1.0,6403.46133,,0.08504,918.18522,1.089105,0.544552,0.081683,0.014464,0.014422,0.0,0.014422,0.288825,0.288825,1.5,0.0,laminar,100.0,1.3,low
A-V-s200-h100,riblet,v-groove,sphere,200.0,100.0,0.5,,,,,,,1.0,,2734.277988,0.097016,804.841687,1.24248,0.62124,0.093186,0.011676,0.01168,0.378897,0.390577,0.3295,-0.351105,3.1,0.0,separation-dominated,100.0,1.3,low
A-V-s200-h100,riblet,v-groove,plate,200.0,100.0,0.5,,,,,,,5.0,32017.306652,,0.342095,228.248875,4.381183,2.190591,0.328589,0.009362,0.009254,0.0,0.009254,1.161868,1.161868,1.5,0.0,laminar,100.0,1.3,high
